,Balance,CreditScore,Age,Tenure,EstimatedSalary,DaysLastTransaction,Geography,Gender,MembershipType,HasCrCard,Exited
0,0.0,619.0,42.0,2.0,101348.88,0.0,Netherlands,Female,Savings,True,True
1,83807.86,608.0,41.0,1.0,112542.58,14.0,Netherlands,Female,Savings,False,False
2,159660.8,502.0,42.0,8.0,113931.57,60.0,Netherlands,Female,OnlineBank,True,True
4,125510.82,850.0,43.0,2.0,79084.1,1.0,Italy,Female,Savings,True,False
5,113755.78,645.0,37.0,8.0,149756.71,29.0,Spain,Male,FullAccess,True,True
6,0.0,822.0,50.0,7.0,10062.8,15.0,France,Male,Savings,True,False
7,115046.74,376.0,29.0,4.0,119346.88,34.0,Italy,Female,Sustainable,True,True
8,142051.07,501.0,37.0,4.0,74940.5,3.0,France,Male,FullAccess,False,False
10,102016.72,528.0,31.0,6.0,80181.12,69.0,France,Male,FullAccess,False,False
11,0.0,497.0,24.0,3.0,76390.01,52.0,Netherlands,Male,FullAccess,True,False
12,0.0,476.0,34.0,10.0,100000.325,40.0,France,Female,FullAccess,True,False
13,0.0,549.0,25.0,5.0,190857.79,72.0,Italy,Female,FullAccess,False,False
14,0.0,635.0,37.0,7.0,65951.65,9.0,Netherlands,Female,FullAccess,True,False
16,132602.88,653.0,58.0,1.0,5097.67,85.0,Italy,Male,Savings,True,True
17,0.0,549.0,37.0,9.0,14406.41,25.0,Spain,Female,FullAccess,True,False
18,0.0,587.0,45.0,6.0,158684.81,29.0,Italy,Male,Savings,False,False
19,0.0,726.0,24.0,6.0,54724.03,13.0,France,Female,FullAccess,True,False
20,0.0,732.0,41.0,5.0,170886.17,25.0,Italy,Male,FullAccess,True,False
21,0.0,636.0,32.0,8.0,138555.46,29.0,Italy,Female,Savings,True,False
22,0.0,510.0,38.0,4.0,118913.53,80.0,Spain,Female,Savings,True,True
23,0.0,669.0,46.0,3.0,8487.75,4.0,Netherlands,Male,FullAccess,False,False
24,0.0,846.0,38.0,5.0,100000.325,16.0,France,Male,Savings,True,False
25,0.0,577.0,37.0,3.0,124508.29,2.0,Italy,Male,FullAccess,False,False
26,136815.64,756.0,36.0,2.0,170041.95,13.0,Germany,Male,Savings,True,False
27,0.0,571.0,44.0,9.0,38433.35,78.0,France,Male,FullAccess,False,False
28,0.0,574.0,43.0,5.0,100187.43,29.0,Italy,Male,Savings,True,False
29,59697.17,411.0,37.0,0.0,53483.21,1.0,Netherlands,Male,FullAccess,True,False
30,0.0,591.0,39.0,5.0,140469.38,29.0,Spain,Female,OnlineBank,True,True
32,110112.54,553.0,41.0,9.0,81898.81,40.0,Germany,Male,FullAccess,False,False
34,0.0,722.0,29.0,9.0,142033.07,27.0,Netherlands,Female,FullAccess,True,False
35,0.0,475.0,45.0,0.0,27822.99,49.0,Italy,Female,Savings,True,True
36,145260.23,490.0,37.0,3.0,114066.77,27.0,Spain,Male,Savings,False,False
37,76548.6,804.0,33.0,5.0,98453.45,29.0,Netherlands,Male,Savings,False,False
38,0.0,850.0,36.0,7.0,40812.9,24.0,Netherlands,Male,Savings,True,False
40,0.0,472.0,40.0,4.0,70154.22,29.0,Netherlands,Male,Savings,True,False
41,122522.32,652.0,51.0,8.0,181297.65,29.0,Italy,Female,Savings,True,True
42,117419.35,556.0,61.0,2.0,94153.83,13.0,France,Female,Savings,True,False
43,0.0,834.0,49.0,2.0,100000.325,44.0,France,Female,Savings,False,True
44,155931.11,652.0,37.0,5.0,100000.325,8.0,Italy,Female,Savings,True,False
45,109421.13,776.0,32.0,4.0,126517.46,9.0,Netherlands,Female,FullAccess,True,False
46,112045.67,829.0,27.0,9.0,119708.21,10.0,Germany,Female,Savings,True,True
47,137843.8,637.0,39.0,5.0,117622.8,3.0,Netherlands,Female,Savings,True,True
48,103391.38,550.0,38.0,2.0,100000.325,29.0,Netherlands,Male,Savings,True,False
49,103769.22,776.0,37.0,2.0,194099.12,52.0,Italy,Male,FullAccess,True,False
50,116363.37,652.0,44.0,5.0,100000.325,50.0,Netherlands,Male,FullAccess,True,False
51,146050.97,585.0,36.0,5.0,86424.57,48.0,Germany,Male,FullAccess,False,False
52,0.0,788.0,33.0,5.0,116978.19,66.0,France,Female,FullAccess,True,False
53,0.0,655.0,41.0,8.0,164040.94,65.0,Germany,Male,Savings,False,True
54,98495.72,601.0,42.0,1.0,40014.76,50.0,Germany,Male,Savings,True,True
55,125211.92,619.0,43.0,1.0,113410.49,12.0,Netherlands,Male,Savings,True,False
56,127864.4,656.0,45.0,5.0,87107.57,29.0,France,Male,Savings,True,False
57,75888.2,652.0,19.0,0.0,100000.325,29.0,Netherlands,Male,Savings,False,False
