,Balance,CreditScore,Age,Tenure,EstimatedSalary,DaysLastTransaction,Geography,Gender,MembershipType,HasCrCard,Exited,Clusters
0,0.0,619.0,42.0,2.0,101348.88,0.0,Netherlands,Female,Savings,True,True,1
1,83807.86,608.0,41.0,1.0,112542.58,14.0,Netherlands,Female,Savings,False,False,5
2,159660.8,502.0,42.0,8.0,113931.57,60.0,Netherlands,Female,OnlineBank,True,True,1
3,125510.82,850.0,43.0,2.0,79084.1,1.0,Italy,Female,Savings,True,False,2
4,113755.78,645.0,37.0,8.0,149756.71,29.0,Spain,Male,FullAccess,True,True,6
5,0.0,822.0,50.0,7.0,10062.8,15.0,France,Male,Savings,True,False,3
6,115046.74,376.0,29.0,4.0,119346.88,34.0,Italy,Female,Sustainable,True,True,2
7,142051.07,501.0,37.0,4.0,74940.5,3.0,France,Male,FullAccess,False,False,4
8,102016.72,528.0,31.0,6.0,80181.12,69.0,France,Male,FullAccess,False,False,4
9,0.0,497.0,24.0,3.0,76390.01,52.0,Netherlands,Male,FullAccess,True,False,0
10,0.0,476.0,34.0,10.0,100000.325,40.0,France,Female,FullAccess,True,False,2
11,0.0,549.0,25.0,5.0,190857.79,72.0,Italy,Female,FullAccess,False,False,5
12,0.0,635.0,37.0,7.0,65951.65,9.0,Netherlands,Female,FullAccess,True,False,1
13,132602.88,653.0,58.0,1.0,5097.67,85.0,Italy,Male,Savings,True,True,6
14,0.0,549.0,37.0,9.0,14406.41,25.0,Spain,Female,FullAccess,True,False,2
15,0.0,587.0,45.0,6.0,158684.81,29.0,Italy,Male,Savings,False,False,4
16,0.0,726.0,24.0,6.0,54724.03,13.0,France,Female,FullAccess,True,False,2
17,0.0,732.0,41.0,5.0,170886.17,25.0,Italy,Male,FullAccess,True,False,6
18,0.0,636.0,32.0,8.0,138555.46,29.0,Italy,Female,Savings,True,False,2
19,0.0,510.0,38.0,4.0,118913.53,80.0,Spain,Female,Savings,True,True,2
20,0.0,669.0,46.0,3.0,8487.75,4.0,Netherlands,Male,FullAccess,False,False,4
21,0.0,846.0,38.0,5.0,100000.325,16.0,France,Male,Savings,True,False,3
22,0.0,577.0,37.0,3.0,124508.29,2.0,Italy,Male,FullAccess,False,False,4
23,136815.64,756.0,36.0,2.0,170041.95,13.0,Germany,Male,Savings,True,False,6
24,0.0,571.0,44.0,9.0,38433.35,78.0,France,Male,FullAccess,False,False,4
25,0.0,574.0,43.0,5.0,100187.43,29.0,Italy,Male,Savings,True,False,6
26,59697.17,411.0,37.0,0.0,53483.21,1.0,Netherlands,Male,FullAccess,True,False,0
